Species	Public	Private	GenBank	BOLD public rbcL	BOLD public matK	GenBank rbcL	GenBank matK	Countries	List
Valeriana dioica	1	7	3	1	0	1	2	2	Hungary;Switzerland
Valeriana officinalis	7	8	4	7	2	2	2	4	Estonia;France;Hungary;Netherlands
Vallisneria nana	0	0	0	0	0	0	0	1	Hungary
Vallisneria spiralis	2	1	3	2	0	3	0	2	France;Hungary
Veratrum album	0	5	4	0	0	1	3	1	France
Verbena officinalis	1	11	11	1	1	6	5	2	Croatia;France
Veronica anagallis-aquatica	9	8	0	9	3	0	0	7	Croatia;France;Hungary;Netherlands;Slovenia;Spain;UK
Veronica anagalloides	0	0	0	0	0	0	0	3	Croatia;Hungary;Spain
Veronica beccabunga	5	6	0	5	5	0	0	7	Croatia;France;Hungary;Netherlands;Slovakia;Spain;UK
Veronica catenata	1	6	2	1	1	1	1	6	Austria;Croatia;Hungary;Netherlands;Spain;UK
Veronica filiformis	6	3	0	6	1	0	0	1	France
Veronica longifolia	5	2	0	5	3	0	0	2	Estonia;Hungary
Veronica montana	0	8	0	0	0	0	0	1	France
Veronica peregrina	4	5	2	4	3	1	1	1	France
Veronica ponae	0	0	0	0	0	0	0	1	Spain
Veronica scardica	0	0	0	0	0	0	0	1	Hungary
Veronica scutellata	6	6	0	6	2	0	0	5	Estonia;Hungary;Netherlands;Spain;UK
Veronica serpyllifolia	12	8	2	12	8	1	1	1	Spain
Viola palustris	5	8	2	5	0	1	1	2	Estonia;France
Wolffia arrhiza	3	2	3	3	0	2	1	3	France;Hungary;Netherlands
Xanthium strumarium	11	7	3	11	9	2	1	2	Croatia;France
Zannichellia contorta	0	0	0	0	0	0	0	1	Spain
Zannichellia obtusifolia	0	0	0	0	0	0	0	2	France;Spain
Zannichellia palustris	1	9	8	1	0	3	5	6	France;Hungary;Netherlands;Spain;Sweden;UK
Zannichellia pedunculata	0	0	0	0	0	0	0	1	Spain
Zannichellia peltata	0	0	0	0	0	0	0	1	Estonia
Zostera marina	2	14	25	2	1	10	15	1	Estonia
